,currency,eqyYear,count,USD to Other Currency,"
Other Currency to USD"
16,TWD,2024,2,32.117,0.031136158
17,TWD,2023,8,31.16,0.032092426
18,TWD,2022,7,29.813,0.033542414
19,TWD,2021,3,27.932,0.035801232
20,TWD,2020,3,29.461,0.033943179
21,TWD,2019,3,30.8869,0.032376185
22,TWD,2018,1,30.1316,0.03318775
23,NOK,2024,2,10.756,0.092971365
24,NOK,2023,4,10.564,0.094661113
25,NOK,2022,4,9.619,0.103960911
26,MXN,2024,1,18.33,0.054555374
27,MXN,2023,9,17.733,0.056392037
28,MXN,2022,9,20.11,0.049726504
29,MXN,2021,6,20.284,0.049299941
30,MXN,2020,3,21.466,0.046585298
31,MXN,2019,2,19.2472,0.051955609
32,MXN,2018,2,19.2247,0.052016416
33,MXN,2017,2,18.9093,0.052884031
34,MXN,2016,1,18.6895,0.053505979
35,MXN,2015,1,15.878,0.062980224
36,KRW,2024,14,1364.153,0.000733056
37,KRW,2023,29,1306.686,0.000765295
38,KRW,2022,29,1291.729,0.000774156
39,KRW,2021,1,1144.883,0.000873452
40,JPY,2025,68,152.9137,0.006539636
41,JPY,2024,300,151.353,0.006607071
42,JPY,2023,324,140.511,0.007116881
43,JPY,2022,131,131.454,0.007607224
44,JPY,2021,14,109.817,0.009106058
45,JPY,2020,3,106.725,0.009369876
46,JPY,2018,1,110.4201,0.009056322
47,JPY,2017,2,112.1405,0.008917385
48,JPY,2014,1,105.9237,0.009440758
49,JPY,2013,1,97.7027,0.010235132
50,INR,2024,4,,0.01195
51,INR,2023,4,,0.01211
52,INR,2022,4,,0.01274
53,INR,2021,4,,0.01353
54,INR,2020,3,,0.01349
55,INR,2019,1,,0.0142
56,GBP,2024,2,,1.2781
57,GBP,2023,4,,1.244
58,GBP,2022,4,,1.2366
59,GBP,2021,4,,1.3758
60,GBP,2020,4,,1.2809
61,GBP,2019,1,,1.2781
62,EUR,2025,1,,1.0488
63,EUR,2024,31,,1.0822
64,EUR,2023,79,,1.0821
65,EUR,2022,69,,1.0535
66,EUR,2021,44,,1.1828
67,EUR,2020,37,,1.1382
68,EUR,2019,17,,1.1201
69,EUR,2018,6,,1.1793
70,EUR,2017,4,,1.1301
71,EUR,2016,2,,1.1069
72,EUR,2015,1,,1.1105
73,EUR,2014,1,,1.3284
74,CNY,2024,17,,0.1393
75,CNY,2023,35,,0.1414
76,CNY,2022,34,,0.1488
77,CNY,2021,2,,0.155
78,CNY,2020,2,,0.1445
79,CNY,2019,2,,0.1449
80,CNY,2018,1,,0.151
81,CNY,2015,1,,0.1592
82,CHF,2024,2,,1.1363
83,CHF,2023,4,,1.1136
84,CHF,2022,4,,1.0479
85,CHF,2021,4,,1.094
86,CHF,2020,4,,1.0635
87,CHF,2019,2,,1.0065
88,CAD,2024,10,,0.73
89,CAD,2023,14,,0.7409
90,CAD,2022,14,,0.7688
91,CAD,2021,4,,0.7978
92,CAD,2020,2,,0.7446
93,CAD,2015,1,,0.7842
94,CAD,2014,2,,0.9057
95,BRL,2024,2,,0.1863
96,BRL,2023,4,,0.2004
97,BRL,2022,4,,0.1941
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
