Supplier.Number,accountsPayable,accountsReceivable,bankCashBalances,bankOverdraft,debitOwnedWithinOneYear,financialAssets,fixedAssets,intangibleAssets,otherCurrentAssets,otherCurrentLiabilities,otherEquity,otherTermAssets,otherTermLiabilities,prepayments,retainedEarnings,subscribedCapital,termLoans,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalInventories,totalLiabilities,totalShareholderEquity,totalTermAssets,totalTermLiabilities,accountPayableAccrualFromCashFlow,capitalExpenditure,changeInInventoriesFromCashFlow,netChangeInCashAndCashEquivalents,netFundingCashFlow,netInvestingCashFlow,unbilledAccountsReceivableRevenueFromCashFlow,currency,financialDate,period,abnormalItems,amortization,companyTaxExpense,costOfGoodsSold,depreciation,earningsBeforeInterestAndTax,grossProfit,interestExpense,interestReceived,investmentIncome,netInvestmentIncome,netProfitAfterTax,netProfitAfterTaxAndMinorityInterests,netProfitBeforeTax,netSurplus,otherIncome,otherInvestmentExpense,otherOperatingExpense,totalOperatingExpense,totalOperatingRevenue,totalStaffCosts,salesRevenue,RRID,id,eqyYear,CHS,FHR,Group,Parent.ID,X.Other.Currency.to.USD,Inflation.Rate....,inf_factor,diff_days
021320P,,,234.593424,,13.026753,119.052054,2582.001297,,,,,,,,,,959.633064,3519.616311,624.568176,275.558184,,1927.348227,1592.268084,,,,,,,0.364086,-369.910359,,USD,2024-06-30,Q2,,,75.595644,,,403.832394,,39.275523,,,,316.362258,,,,,,,,,,1384.923141,5aPqjzA,2024Q2,2024,65,81,"A2, F2, F3, HDM A2",P375711,1.0,2.90%,1.017,365
032380P,,,636.9801653,,488.4715714,131.6167141,611.6063776,,,,,,,,,,534.2882612,2292.135878,1406.119835,842.1677844,,1491.834844,800.3010348,,,,,,,-208.0258212,-11.90213752,,JPY,2024-06-30,Q1,-30.13464269,,16.95073651,,,126.2345937,,15.6035715,10.90811285,,,116.5755513,,,,,,,,,,2285.563544,2AzmW7a,2025Q1,2025,62,71,"A1, F0, F2, HDM F1",P629451,0.006539636,,1.0,365
061043P,,,98.32342726,,364.4342954,63.44754847,634.9136403,,,,,,,,,,133.146989,1281.101613,546.2165573,620.2648557,,793.2774657,487.8241474,,,,,,,,,,JPY,2024-06-30,Q1,-0.451234884,,9.332060572,,,24.24243065,,19.40963965,1.065960668,,,9.063935496,,,,,,,,,,1976.905804,DQMRgKD,2025Q1,2025,37,36,"F3, HDM A2",P806649,0.006539636,,1.0,365
061090P,,,63.95164977,,16.0408181,23.10083909,110.9684151,,,,,,,,,,4.002989671,275.1733387,133.462788,59.58198271,,74.0303929,201.1429458,,,,,,,,,,JPY,2024-06-30,Q1,-1.12269855,,6.40705142,,,26.27069876,,0.22727197,1.563254208,,,22.88447524,,,,,,,,,,284.6826038,JqkzxVA,2025Q1,2025,69,89,"A1, HDM A1",P299205,0.006539636,,1.0,365
070740P,,,137.1819444,,128.5496249,83.17763028,309.4817341,,,,,,,,,,35.7325711,920.9180812,502.5056302,336.0784337,,406.3402829,514.5777983,,,,,,,,,,JPY,2024-06-30,Q1,-9.979484536,,16.46026381,,,35.41212894,,7.45518504,1.04634176,,,27.793453,,,,,,,,,,976.8385086,aPbWZxD,2025Q1,2025,30,54,"A2, A3, F2, HDM A3",P374158,0.006539636,,1.0,365
082610P,1125.013581,1032.386177,570.7205734,0.0,350.1255718,178.6890141,1747.220709,166.7737973,191.4740024,259.6300888,-1701.20129,298.344734,211.1517672,,1881.21785,912.9135667,2467.358885,5644.346752,3253.318498,1734.769242,1458.737746,4525.454271,1118.892482,2391.028254,2790.685029,66.90047628,-48.65489184,-45.35237566,26.91714178,54.28551844,-48.00746788,32.2992622,JPY,2024-06-30,Q1,-614.9481316,,6.709666536,5470.634401,287.5543346,-387.9181282,865.9001235,151.8568876,8.024133372,,-196.2675556,-590.8953504,-591.7912805,-584.1856839,-591.7912805,68.48306819,52.43480145,419.7988537,707.3531883,6405.017593,,6336.534525,aw32lBa,2025Q1,2025,15,29,F3,P771900,0.006539636,,1.0,365
092210P,,,101.3774373,,25.63537312,20.08976179,137.7247342,,,,,,,,,,4.976662996,517.1871131,340.564624,145.1995381,,180.2062096,336.9809034,,,,,,,-40.86618536,15.23735188,,JPY,2024-06-30,Q1,-0.863231952,,3.622958344,,,-2.504680588,,2.347729324,0.994024672,,,19.97204834,,,,,,,,,,646.9138724,J3VlpyD,2025Q1,2025,32,57,A3,P986434,0.006539636,,1.0,365
100380,,,3009.303,,3752.73,15719.769,15692.31,,,,,,,,,,40873.23,82906.857,15066.855,15036.345,,64393.389,18513.468,,,,,,,-3802.563,1820.43,,USD,2024-06-30,Q2,3867.651,,-301.032,,,7295.958,,3430.341,,,,3865.617,,,,,,,,,,52645.005,aK6x8EJ,2024Q2,2024,74,62,F0,P644770,1.0,2.90%,1.017,365
100520P,,,570.3805123,,39.8917796,127.6536947,382.8237518,,,,,,,,,,0.0,1676.422609,1124.621203,324.2482322,,405.5882247,1270.834385,,,,,,,-36.07917181,-59.52376687,,JPY,2024-06-30,Q1,,,47.43197991,,,111.4026993,,,,,,91.82302908,,,,,,,,,,1621.640079,5aP29ZD,2025Q1,2025,61,88,"PU, HDM A1",P714640,0.006539636,,1.0,365
11330,,,731.5669983,,1453.881395,742.2777079,10279.17012,,,,,,,,,,2933.874344,19872.93546,6934.667062,4730.901609,,8430.766392,11442.16907,,,,,,,-1085.907374,-1141.886622,,JPY,2024-06-30,Q2,-1097.048125,,267.3847343,,,-182.4919458,,,,,,-506.4808316,,,,,,,,,,13768.91282,YaKPpmA,2024Q2,2024,19,35,F2,P273712,0.006607071,2.90%,1.017,365
11620,,,799.4312632,,445.2053396,456.6170044,923.8086003,,,,,,,,,,402.906974,4997.504816,3253.665099,1712.142101,,2340.908484,2656.596332,,,,,,,,,,JPY,2024-06-30,Q1,-260.5325586,,97.91143019,,,-107.0211431,,7.402867952,13.15774763,,,-174.3728543,,,,,,,,,,6403.44808,GJWoP7J,2025Q1,2025,14,40,"F0, HDM F0",P851698,0.006539636,,1.0,365
11630,,,227.8016804,,113.8354439,0.745518504,335.2609792,,,,,,,,,,210.6678341,966.7543899,550.2318938,342.2256915,,597.1864802,369.5679096,,,,,,,-23.71272014,45.6858971,,JPY,2024-06-30,Q1,-0.843613044,,15.83245876,,,20.88105775,,17.57200193,2.086143884,,,57.93463532,,,,,,,,,,1079.510794,JOG4y1J,2025Q1,2025,50,54,"F3, HDM F3",P926754,0.006539636,,1.0,365
120690P,,,1519.006556,0.0,292.9756928,,,,10221.08187,10330.13448,470.853792,13059.75879,490.4411381,,3758.713061,0.0,9456.729054,24799.84721,11740.08843,10623.11017,,20570.28036,4229.566853,13059.75879,9947.170193,,,,,,,,JPY,2024-04-30,Q1,,,78.475632,28956.45203,448.6898944,206.716829,2295.961205,77.70636991,,589.2510958,511.5447258,639.7859229,639.7859229,718.2615549,639.7859229,0.0,0.0,1640.554482,2089.244376,31252.41324,,31252.41324,J1npZoa,2025Q1,2025,35,41,"A2, A3",P745742,0.006539636,,1.0,365
12373,,,146.9729108,,5.358649674,242.2081258,237.9037635,,,,,,,,,,152.0171413,978.7669753,364.6451986,130.6187591,,389.5516181,589.2153572,,,,,,,,,,JPY,2024-06-30,Q1,0.3021835,,6.150148359,,,8.481417419,,0.560852263,0.470814554,,,14.98339166,,,,,,,,,,670.2446974,a714VzD,2025Q1,2025,39,71,"F2, HDM F2",P242219,0.006539636,,1.0,365
131820,,,315.3150894,,675.8844599,458.9581941,1292.048964,,,,,,,,,,662.3147152,4394.184157,2443.083757,1357.961955,,2348.285193,2045.898964,,,,,,,,,,JPY,2024-06-30,Q1,-40.02257232,,100.0237326,,,356.5278754,,16.9114987,2.838202024,,,309.7498591,,,,,,,,,,4375.428481,pa6g1nA,2025Q1,2025,69,71,"A3, F2, HDM F2",P927404,0.006539636,,1.0,365
140290,,,7013.825006,,1662.068108,14791.22445,13970.27125,,,,,,,,,,3381.220699,58190.22392,26806.80504,14024.596,,20984.34476,37205.87916,,,,,,,-4052.200432,-1080.282471,,JPY,2024-06-30,Q1,50.42059356,,522.0853004,,,2656.367445,,61.5641333,159.2662951,,,2385.992734,,,,,,,,,,46991.95396,5ABvgbA,2025Q1,2025,54,80,"A1, A3, F0, F2, F3, PU, HDM F1",P825978,0.006539636,,1.0,365
140320P,,,85.63653342,,121.3756442,24.06586048,198.687221,,,,,,,,,,36.2949798,535.4850146,295.1664709,244.6216242,,320.7429873,214.7420273,,,,,,,,,,JPY,2024-06-30,Q1,1.235991204,,4.518888476,,,19.68430436,,5.597928416,1.007103944,,,17.18616341,,,,,,,,,,818.101924,aEozePD,2025Q1,2025,51,58,"A2, A3, F2",P366315,0.006539636,,1.0,365
